"","RRcode","City","province_code","Start_date","tenure_days_","tenure_bracket","cost_center","tran_month","production","depletion","nag"
"78","YVTC","Eoronto","province8","19-Dec-11","3","#N/A","5463",2015-03-02,1089040.03,-392760.76,696279.27
"79","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-01-03,55842.19,0,55842.19
"80","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-02-01,1318842.28,-14501.93,1304340.35
"81","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-03-01,1929835.69,-12362.37,1917473.32
"82","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-04-01,655248.65,-15993.01,639255.64
"83","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-05-02,756018.18,-10946.21,745071.96
"84","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-06-01,1743065.19,-10789.23,1732275.96
"85","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-07-01,1408670.56,-404598.78,1004071.79
"86","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-08-01,1242302.45,-16232.69,1226069.76
"87","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-09-01,1404203.76,-438651.64,965552.12
"88","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-10-03,824201.31,-368817.67,455383.64
"89","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-11-01,1693561.64,-300655.3,1392906.34
"90","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2011-12-01,2909771.08,-415513.14,2494257.94
"91","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-01-03,2868782.51,-897864.62,1970917.89
"92","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-02-01,2975054.91,-230218,2744836.91
"93","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-03-01,2079300.54,-824182.2,1255118.34
"94","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-04-02,992353.55,-1219442.92,-227089.37
"95","YVWT","#R/T","province1","#N/A","#N/A","#N/A","#N/A",2012-05-01,264903.13,-2144068.38,-1879165.25
"96","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2010-12-01,0,0,0
"97","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-01-03,54908.09,0,54908.09
"98","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-02-01,56923.43,0,56923.43
"99","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-03-01,151745.55,-513.86,151231.69
"100","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-04-01,838517.31,-280848.48,557668.83
"101","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-05-02,1376309.79,-40234.23,1336075.56
"102","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-06-01,1198943.18,-173597.92,1025345.26
"103","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-07-01,977321.89,-186930.78,790391.11
"104","YVWU","Qedicine Lat","province2","23-Aug-10","0","#N/A","8140",2011-08-01,713658.78,-94669.85,618988.93
"105","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2011-09-01,1121655.73,-391568.69,730087.04
"106","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2011-10-03,293935.62,-50328.87,243606.75
"107","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2011-11-01,94381.99,-127850.56,-33468.57
"108","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2011-12-01,245645.65,-82616.91,163028.74
"109","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-01-03,711558.58,-139657.79,571900.79
"110","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-02-01,973402.03,-130344.99,843057.04
"111","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-03-01,738914.73,-95304.27,643610.45
"112","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-04-02,1436961.57,-251392.65,1185568.92
"113","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-05-01,342575.44,-512379.24,-169803.8
"114","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-06-01,627641.35,-10608.26,617033.09
"115","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-07-02,1018031.52,-277599.49,740432.03
"116","YVWU","Qedicine Lat","province2","23-Aug-10","1","#N/A","8140",2012-08-01,349777.5,-157883.54,191893.96
"117","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2012-09-04,599337.74,-134834.52,464503.22
"118","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2012-10-01,530141.11,-145073.69,385067.42
"119","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2012-11-01,478766.07,-97932.53,380833.54
"120","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2012-12-03,913061.66,-208900.57,704161.09
"121","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-01-02,441230.06,-79586.96,361643.1
"122","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-02-01,2282485.46,-360324.98,1922160.48
"123","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-03-01,932763.57,-472296.11,460467.47
"124","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-04-01,839738.09,-266769.52,572968.57
"125","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-05-01,972788.3,-104517.14,868271.16
"126","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-06-03,1699724.94,-373983.26,1325741.68
"127","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-07-01,945928.03,-168779.72,777148.32
"128","YVWU","Qedicine Lat","province2","23-Aug-10","2","#N/A","8140",2013-08-01,726924.54,-80912.15,646012.39
"129","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2013-09-03,656069.64,-348731.12,307338.52
"130","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2013-10-01,684706.16,-315703,369003.16
"131","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2013-11-01,304784.97,-247425.41,57359.56
"132","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2013-12-02,699523.72,-141062.56,558461.16
"133","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-01-02,1273765.01,-249921.99,1023843.02
"134","YVWU","Qedicine Lat","province2","23-Aug-10","3","#N/A","8140",2014-02-03,1155176.73,-171968.07,983208.66
